5,,2018,7,5,53,,https://www.thealdennetwork.com/five-fun-ways-to-give-your-brain-a-workout/ ,2018-08-11 12:08:00,2018-08-11 12:08:00
15,Scams Are a Family Caregiver Issue,2018,7,3,47,,http://aisreview.enewsworks.com/en/102851/1/2696/Scams-Are-a-Family-Caregiver-Issue.htm ,2018-08-11 12:08:00,2018-11-10 22:59:39.269772
40,"For Older Drivers, All Cars Aren’t Created Equal",2018,8,5,131,,https://www.thealdennetwork.com/for-older-drivers-all-cars-arent-created-equal/,2018-11-10 23:31:57.989418,2018-11-10 23:31:57.989418
8,,2018,8,6,48,,http://handinhandenews.com/en/32210168/1/500/Seven-Myths-About-Older-Workers.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
9,,2018,8,6,96,,http://handinhandenews.com/en/32210168/1/501/Suicide-On-the-Rise-Among-Senior-Americans.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
10,,2018,7,2,134,,"",2018-08-11 12:08:00,2018-08-11 12:08:00
23,What Shots,2018,8,13,77,10,http://www.caringnews.com/en/182/1/561/I'm-Over-65---What-Shots-Do-I-Need.htm,2018-08-11 12:08:00,2018-09-16 02:03:02.264199
3,,2018,5,5,73,,﻿https://www.thealdennetwork.com/avoiding-tickborne-illness/,2018-08-11 12:08:00,2018-08-11 12:08:00
4,,2018,5,5,75,,https://www.thealdennetwork.com/family-often-first-to-spot-hospital-delirium/ ,2018-08-11 12:08:00,2018-08-11 12:08:00
11,,2018,7,2,81,,"",2018-08-11 12:08:00,2018-08-11 12:08:00
12,,2018,8,2,18,,"",2018-08-11 12:08:00,2018-08-11 12:08:00
14,,2018,5,3,87,,http://aisreview.enewsworks.com/en/102850/1/2659/May-13---19-2018-Is-National-Women's-Health-Week.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
16,,2018,7,3,40,,http://aisreview.enewsworks.com/en/102851/1/2696/Scams-Are-a-Family-Caregiver-Issue.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
17,,2018,7,3,136,,http://aisreview.enewsworks.com/en/102851/1/2698/Simple-Tips-for-a-Healthy-and-Safe-Cookout.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
18,,2018,7,3,131,,http://aisreview.enewsworks.com/en/102851/1/2699/Aging--Caregiving-in-the-News.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
19,,2018,7,13,133,,http://www.caringnews.com/en/181/1/552/Senior-Self-Neglect-and-What-Families-Can-Do-About-It.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
20,,2018,7,13,51,,http://www.caringnews.com/en/181/1/553/10-Things-to-Know-Right-Away-When-a-Loved-One-Is-Diagnosed-With-Alzheimer's-Disease.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
21,,2018,8,13,36,,http://www.caringnews.com/en/182/1/559/How-Can-We-Get-Mom-to-Exercise.htm ,2018-08-11 12:08:00,2018-08-11 12:08:00
22,,2018,8,13,27,,http://www.caringnews.com/en/182/1/560/A-New-Look-at-Seniors-and-Anxiety.htm,2018-08-11 12:08:00,2018-08-11 12:08:00
7,Home Care Can Reduce Your Loved One's Fear of Falling … And Yours,2018,8,6,135,,http://handinhandenews.com/en/32210168/1/499/Home-Care-Can-Reduce-Your-Loved-One's-Fear-of-Falling-…-And-Yours.htm ,2018-08-11 12:08:00,2018-11-11 00:56:35.245326
13,What We Don't Know About Aging Might Hurt Us,2018,5,3,3,2,http://aisreview.enewsworks.com/en/102850/1/2658/What-We-Don't-Know-About-Healthy-Aging-Might-Hurt-Us.htm,2018-08-11 12:08:00,2018-10-21 17:40:05.254244
28,Joycie test right now,2018,12,13,74,10,"",2018-10-20 19:57:49.076473,2018-10-20 19:59:04.861063
